X,Y,gid,Name,description,altitudeMode,Nghd_Name,Suburban_Area,NGHD_ID,Field_1
-106.68577006063,52.1181221872023,74,King George,,clampToGround,King George,Core Neighbourhood Area,012,King George
-106.677850643263,52.1253528792801,75,Riversdale,,clampToGround,Riversdale,Core Neighbourhood Area,014,Riversdale
-106.711949059354,52.1226554926234,79,Meadowgreen,,clampToGround,Meadowgreen,Confederation,011,Meadowgreen
-106.64196397253,52.1539461991702,83,Richmond Heights,,clampToGround,Richmond Heights,Lawson,052,Richmond Heights
-106.731049492603,52.1113685742403,95,Montgomery Place,,clampToGround,Montgomery Place,Confederation,002,Montgomery Place
-106.573224767753,52.1883091636025,86,University Heights Development Area,,clampToGround,University Heights Development Area,University Heights,902,University Heights Development Area
-106.730740104218,52.1223335852499,89,Fairhaven,,clampToGround,Fairhaven,Confederation,003,Fairhaven
-106.695830976143,52.2129644331974,91,North West Development Area,,clampToGround,North West Development Area,Riel Industrial,906,North West Development Area
-106.679388473685,52.1923919413957,92,Agriplace,,clampToGround,Agriplace,Riel Industrial,100,Agriplace
-106.629565171786,52.2162971323344,94,North Development Area,,clampToGround,North Development Area,Riel Industrial,905,North Development Area
